Components List
0	1	0	09010000	0	0	240	296	3646	4154	Image/Icon
1	2	0	fd87000e	137	21	55	476	75194	75700	Animation
2	3	0	170a0000	0	0	0	0	0	0	Weather label
3	3	0	17090000	32	88	21	16	144644	144786	Weather label
4	3	0	17090000	32	86	20	20	148017	148177	Weather label
5	3	0	17090000	33	87	19	18	147497	147675	Weather label
6	3	0	17090000	33	87	18	18	146478	146616	Weather label
7	3	0	17090000	32	88	20	16	146036	146158	Weather label
8	3	0	17090000	32	88	21	17	146940	147140	Weather label
9	3	0	17090000	31	88	22	16	148577	148827	Weather label
10	3	0	17090000	32	87	21	18	145122	145280	Weather label
11	3	0	17090000	32	89	21	14	145658	145742	Weather label
12	4	1	038c0082	79	84	39	216	104324	104356	Month no
13	4	2	038c0082	78	76	42	216	117606	117638	Month no
14	5	1	08028082	16	133	24	15	101880	101912	AM/PM label
15	5	2	08028082	16	125	24	15	102272	102304	AM/PM label
16	6	1	08028082	16	133	25	15	115127	115153	AM/PM label
17	6	2	08028082	16	125	25	15	115528	115554	AM/PM label
18	7	1	08028082	16	164	25	15	113189	113223	AM/PM label
19	7	2	08028082	16	156	25	15	112780	112814	AM/PM label
20	8	1	08028082	16	164	25	15	127109	127133	AM/PM label
21	8	2	08028082	16	156	25	15	126710	126734	AM/PM label
22	9	0	008a8200	102	115	27	420	133180	133304	Hour no
23	9	0	008a8200	67	115	27	420	133180	133304	Hour no
24	10	0	018a8200	181	115	27	420	133180	133304	Minute no
25	10	0	018a8200	146	115	27	420	133180	133304	Minute no
26	11	0	09010000	134	126	7	20	113598	113614	Image/Icon
27	12	0	078a8400	164	168	9	140	113754	113786	Year no -
28	12	0	078a8400	153	168	9	140	113754	113786	Year no -
29	12	0	078a8400	142	168	9	140	113754	113786	Year no -
30	12	0	078a8400	131	168	9	140	113754	113786	Year no -
31	13	0	038a8200	111	168	9	140	113754	113786	Month no
32	13	0	038a8200	100	168	9	140	113754	113786	Month no
33	14	0	028a8200	76	168	9	140	113754	113786	Date no
34	14	0	028a8200	65	168	9	140	113754	113786	Date no
35	15	0	09010000	87	174	9	2	115046	115050	Image/Icon
36	16	0	09010000	122	174	9	2	115046	115050	Image/Icon
37	17	1	0c020082	192	197	27	14	102664	102698	Sleep label
38	17	2	0c020082	190	189	32	13	115929	115955	Sleep label
39	18	0	0b8a0300	206	168	9	140	113754	113786	Battery no
40	18	0	0b8a0300	195	168	9	140	113754	113786	Battery no
41	18	0	0b8a0300	184	168	9	140	113754	113786	Battery no
42	18	0	0b860000	212	120	12	198	1264	1270	Battery no
43	19	1	0c020082	28	29	19	9	103076	103108	Sleep label
44	19	2	0c020082	81	21	37	9	116371	116399	Sleep label
45	20	0	108a8300	102	44	12	180	127508	127538	Heart Rate no
46	20	0	108a8300	89	44	12	180	127508	127538	Heart Rate no
47	20	0	108a8300	76	44	12	180	127508	127538	Heart Rate no
48	21	0	1d8a8200	160	216	9	140	113754	113786	Unknown
49	21	0	1d8a8200	150	216	9	140	113754	113786	Unknown
50	22	0	148a8100	99	247	15	230	129698	129730	Distance no
51	22	0	148a8200	74	247	15	230	129698	129730	Distance no
52	22	0	148a8200	56	247	15	230	129698	129730	Distance no
53	23	0	09010000	91	262	5	7	115068	115092	Image/Icon
54	24	1	15020082	121	263	31	15	103825	103859	Distance Label
55	24	2	15020082	120	255	32	16	103279	103313	Distance Label
56	25	1	15020082	124	263	24	15	117212	117246	Distance Label
57	25	2	15020082	121	255	30	15	116732	116762	Distance Label
58	26	0	0e8a8500	110	210	15	230	129698	129730	Steps no
59	26	0	0e8a8500	92	210	15	230	129698	129730	Steps no
60	26	0	0e8a8500	74	210	15	230	129698	129730	Steps no
61	26	0	0e8a8500	56	210	15	230	129698	129730	Steps no
62	26	0	0e8a8500	38	210	15	230	129698	129730	Steps no
