Components List
0	1	0	09010000	0	0	240	288	1625	2133	Image/Icon
1	2	0	fd89000f	10	9	100	900	72547	73051	Animation
2	3	1	08028082	201	137	31	15	1128	1160	AM/PM label
3	3	2	08028082	201	137	31	15	174841	174873	AM/PM label
4	4	1	08028082	201	137	25	14	744	778	AM/PM label
5	4	2	08028082	201	137	23	14	174485	174519	AM/PM label
6	5	0	0b8a0300	161	81	9	140	71253	71287	Battery no
7	5	0	0b8a0300	151	81	9	140	71253	71287	Battery no
8	5	0	0b8a0300	141	81	9	140	71253	71287	Battery no
9	6	0	09010000	172	82	13	13	174282	174316	Image/Icon
10	7	0	108a8300	182	13	9	140	71253	71287	Heart Rate no
11	7	0	108a8300	172	13	9	140	71253	71287	Heart Rate no
12	7	0	108a8300	162	13	9	140	71253	71287	Heart Rate no
13	8	0	09010000	147	59	3	3	163051	163065	Image/Icon
14	9	0	148a8200	161	49	9	140	71253	71287	Distance no
15	9	0	148a8200	151	49	9	140	71253	71287	Distance no
16	9	0	148a8200	135	49	9	140	71253	71287	Distance no
17	9	0	148a8200	124	49	9	140	71253	71287	Distance no
18	10	0	0f8a8400	205	238	9	140	71253	71287	Calories no
19	10	0	0f8a8400	195	238	9	140	71253	71287	Calories no
20	10	0	0f8a8400	185	238	9	140	71253	71287	Calories no
21	10	0	0f8a8400	175	238	9	140	71253	71287	Calories no
22	11	0	0e8a8500	69	238	9	140	71253	71287	Steps no
23	11	0	0e8a8500	59	238	9	140	71253	71287	Steps no
24	11	0	0e8a8500	49	238	9	140	71253	71287	Steps no
25	11	0	0e8a8500	39	238	9	140	71253	71287	Steps no
26	11	0	0e8a8500	29	238	9	140	71253	71287	Steps no
27	12	1	038c0082	13	133	30	192	164278	164312	Month no
28	12	2	038c0082	14	135	29	144	170072	170106	Month no
29	13	0	028a8200	29	157	9	130	163074	163108	Date no
30	13	0	028a8200	18	157	9	130	163074	163108	Date no
31	14	0	09010000	119	145	6	23	175338	175346	Image/Icon
32	15	0	008a8200	83	135	29	400	175484	175518	Hour no
33	15	0	008a8200	49	135	29	400	175484	175518	Hour no
34	16	0	018a8200	169	135	29	400	175484	175518	Minute no
35	16	0	018a8200	135	135	29	400	175484	175518	Minute no
36	17	0	06870000	0	200	240	126	187118	187204	Weekday label
